	_id	measurementTechniqueIRIs
97	vivli_359dc554-673a-4239-bb2c-41ec7621e01d	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
98	vivli_35d91922-7157-418f-9f7f-2765764aedf8	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
99	vivli_35e59923-23de-451e-afc0-f18429d252bb	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
100	vivli_3641e01e-1f0b-450d-8fcf-bb8840be7892	['http://purl.obolibrary.org/obo/NCIT_C82640']
101	vivli_3648f9b6-7079-4866-8ea5-fd2b5ae87d3d	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
102	vivli_3664aed9-9dbc-4dad-9b6a-d6dde26d5960	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C93043', 'http://purl.obolibrary.org/obo/NCIT_C49659']
103	vivli_3686430a-880e-4baa-950b-fbb7d93241a2	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
104	vivli_368afb41-b8db-4a53-9855-71e69f13596c	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
105	vivli_36b224e9-4165-4866-8a12-63b367a6c68d	['http://purl.obolibrary.org/obo/NCIT_C82640']
106	vivli_36c2499f-e537-4950-8966-4a9eec7aa54f	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
107	vivli_36e58f74-9f51-4838-9c45-6b517d7ca031	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
108	vivli_37163ab5-0b15-4c7e-b7f9-bfdd26e6950f	['http://purl.obolibrary.org/obo/NCIT_C142568', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
109	vivli_376af928-3115-4076-911e-5d99da1cd39a	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
110	vivli_37ae3bb7-e569-4385-9185-c4966b4248a6	['http://purl.obolibrary.org/obo/NCIT_C82640']
111	vivli_37b9b65b-bdc3-44da-af70-8da1837cbb6e	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
112	vivli_37c1affe-2fe4-4f46-ac4a-9eee6b40b5e6	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
113	vivli_37e238ba-46d7-40ba-bec4-7e45955c9411	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
114	vivli_37e2bb32-94f9-4866-b92a-789017227b46	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
115	vivli_37e6b810-9cf3-4722-976b-872c8d3fc45f	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
116	vivli_3816c215-4aff-417f-99cb-3c99dff22d7e	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
117	vivli_38e51c9c-18f4-41d2-b4e9-8abd82ff0cdb	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
118	vivli_39014c46-8692-4453-972a-dc309d5fbde6	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
119	vivli_3904f122-58c3-47c2-b0d5-69138aec5466	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
120	vivli_39113e71-8618-4ac7-92b8-e69d8b120d4d	['http://purl.obolibrary.org/obo/NCIT_C82640']
121	vivli_3912eeb9-e610-4249-9fb2-8839094ab343	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
122	vivli_393ccfde-4b7a-48fc-8e90-7512587752a1	['http://purl.obolibrary.org/obo/NCIT_C82640']
123	vivli_397baf88-55f0-40e5-b170-8ce81290fe9c	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
124	vivli_399dfba1-8943-443b-88a3-105c8de7fb3f	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
125	vivli_39f270f0-f55f-4705-87b3-8601d942ebf1	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
126	vivli_3a0543a3-07d5-4474-856f-9b11e36d86da	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
127	vivli_3a0e4eb6-2862-4681-b782-e1b9fed651e2	['http://purl.obolibrary.org/obo/NCIT_C82637', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
128	vivli_3a334a1f-ec36-4109-aa3c-edb47537ce4f	['http://purl.obolibrary.org/obo/NCIT_C16084', 'http://purl.obolibrary.org/obo/NCIT_C142646', 'NA']
129	vivli_3a7b0e67-e403-41b5-a284-dbde305ffad0	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
130	vivli_3a7f2ec7-5a29-4081-8abb-7674a5612e0e	['http://purl.obolibrary.org/obo/NCIT_C98388', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
131	vivli_3ad23ddb-f235-4216-88a5-1489547b0f38	['http://purl.obolibrary.org/obo/NCIT_C82639', 'http://purl.obolibrary.org/obo/NCIT_C15417', 'http://purl.obolibrary.org/obo/NCIT_C49659']
