,source_id,map_method,target_id
113,http://purl.obolibrary.org/obo/NCIT_C87089,LOOM,http://www.ebi.ac.uk/efo/EFO_0009841
114,http://purl.obolibrary.org/obo/NCIT_C96503,LOOM,http://www.ebi.ac.uk/efo/EFO_1000191
115,http://purl.obolibrary.org/obo/NCIT_C28283,LOOM,http://www.ebi.ac.uk/efo/EFO_0009574
116,http://purl.obolibrary.org/obo/NCIT_C4801,LOOM,http://www.ebi.ac.uk/efo/EFO_1001073
117,http://purl.obolibrary.org/obo/NCIT_C4331,LOOM,http://www.ebi.ac.uk/efo/EFO_1000500
118,http://purl.obolibrary.org/obo/NCIT_C94764,LOOM,http://www.ebi.ac.uk/efo/EFO_1000026
119,http://purl.obolibrary.org/obo/NCIT_C27394,LOOM,http://www.ebi.ac.uk/efo/EFO_1000619
120,http://purl.obolibrary.org/obo/NCIT_C39821,LOOM,http://www.ebi.ac.uk/efo/EFO_1000302
121,http://purl.obolibrary.org/obo/NCIT_C123170,LOOM,http://www.ebi.ac.uk/efo/EFO_0008616
122,http://purl.obolibrary.org/obo/NCIT_C34649,LOOM,http://www.ebi.ac.uk/efo/EFO_0007290
123,http://purl.obolibrary.org/obo/NCIT_C4778,LOOM,http://www.ebi.ac.uk/efo/EFO_1000111
124,http://purl.obolibrary.org/obo/NCIT_C324,LOOM,http://www.ebi.ac.uk/efo/EFO_0008481
125,http://purl.obolibrary.org/obo/NCIT_C5907,LOOM,http://www.ebi.ac.uk/efo/EFO_1000344
126,http://purl.obolibrary.org/obo/NCIT_C85189,LOOM,http://www.ebi.ac.uk/efo/EFO_1000585
127,http://purl.obolibrary.org/obo/NCIT_C3757,LOOM,http://www.ebi.ac.uk/efo/EFO_1001111
128,http://purl.obolibrary.org/obo/NCIT_C92188,LOOM,http://www.ebi.ac.uk/efo/EFO_0003956
129,http://purl.obolibrary.org/obo/NCIT_C99039,LOOM,http://www.ebi.ac.uk/efo/EFO_0003957
130,http://purl.obolibrary.org/obo/NCIT_C27208,LOOM,http://www.ebi.ac.uk/efo/EFO_0003870
131,http://purl.obolibrary.org/obo/NCIT_C8957,LOOM,http://www.ebi.ac.uk/efo/EFO_0006892
132,http://purl.obolibrary.org/obo/NCIT_C39824,LOOM,http://www.ebi.ac.uk/efo/EFO_1000303
133,http://purl.obolibrary.org/obo/NCIT_C6885,LOOM,http://www.ebi.ac.uk/efo/EFO_1000582
134,http://purl.obolibrary.org/obo/NCIT_C5243,LOOM,http://www.ebi.ac.uk/efo/EFO_0006462
135,http://purl.obolibrary.org/obo/NCIT_C27571,LOOM,http://www.ebi.ac.uk/efo/EFO_0000524
136,http://purl.obolibrary.org/obo/NCIT_C121970,LOOM,http://www.ebi.ac.uk/efo/EFO_0006886
137,http://purl.obolibrary.org/obo/NCIT_C28236,LOOM,http://www.ebi.ac.uk/efo/EFO_0009618
138,http://purl.obolibrary.org/obo/NCIT_C20180,LOOM,http://www.ebi.ac.uk/efo/EFO_0007064
139,http://purl.obolibrary.org/obo/NCIT_C27548,LOOM,http://www.ebi.ac.uk/efo/EFO_1000733
140,http://purl.obolibrary.org/obo/NCIT_C9281,LOOM,http://www.ebi.ac.uk/efo/EFO_0007276
141,http://purl.obolibrary.org/obo/NCIT_C39741,LOOM,http://www.ebi.ac.uk/efo/EFO_1000510
142,http://purl.obolibrary.org/obo/NCIT_C180915,LOOM,http://www.ebi.ac.uk/efo/EFO_1000620
143,http://purl.obolibrary.org/obo/NCIT_C7155,LOOM,http://www.ebi.ac.uk/efo/EFO_0010832
144,http://purl.obolibrary.org/obo/NCIT_C20452,LOOM,http://www.ebi.ac.uk/efo/EFO_0003172
145,http://purl.obolibrary.org/obo/NCIT_C7743,LOOM,http://www.ebi.ac.uk/efo/EFO_0006884
146,http://purl.obolibrary.org/obo/NCIT_C4122,LOOM,http://www.ebi.ac.uk/efo/EFO_1000450
147,http://purl.obolibrary.org/obo/NCIT_C84786,LOOM,http://www.ebi.ac.uk/efo/EFO_0007323
148,http://purl.obolibrary.org/obo/NCIT_C33975,LOOM,http://www.ebi.ac.uk/efo/EFO_0003266
149,http://purl.obolibrary.org/obo/NCIT_C7306,LOOM,http://www.ebi.ac.uk/efo/EFO_1000549
150,http://purl.obolibrary.org/obo/NCIT_C3894,LOOM,http://www.ebi.ac.uk/efo/EFO_0003890
151,http://purl.obolibrary.org/obo/NCIT_C16840,LOOM,http://www.ebi.ac.uk/efo/EFO_0004323
152,http://purl.obolibrary.org/obo/NCIT_C3642,LOOM,http://www.ebi.ac.uk/efo/EFO_1000283
153,http://purl.obolibrary.org/obo/NCIT_C96839,LOOM,http://www.ebi.ac.uk/efo/EFO_1000322
154,http://purl.obolibrary.org/obo/NCIT_C9142,LOOM,http://www.ebi.ac.uk/efo/EFO_1001936
155,http://purl.obolibrary.org/obo/NCIT_C3355,LOOM,http://www.ebi.ac.uk/efo/EFO_0003853
156,http://purl.obolibrary.org/obo/NCIT_C35169,LOOM,http://www.ebi.ac.uk/efo/EFO_0009682
157,http://purl.obolibrary.org/obo/NCIT_C7308,LOOM,http://www.ebi.ac.uk/efo/EFO_1000547
158,http://purl.obolibrary.org/obo/NCIT_C9143,LOOM,http://www.ebi.ac.uk/efo/EFO_1001935
159,http://purl.obolibrary.org/obo/NCIT_C4830,LOOM,http://www.ebi.ac.uk/efo/EFO_1001973
160,http://purl.obolibrary.org/obo/NCIT_C34664,LOOM,http://www.ebi.ac.uk/efo/EFO_1001254
161,http://purl.obolibrary.org/obo/NCIT_C5974,LOOM,http://www.ebi.ac.uk/efo/EFO_1000461
162,http://purl.obolibrary.org/obo/NCIT_C2854,LOOM,http://www.ebi.ac.uk/efo/EFO_1000625
163,http://purl.obolibrary.org/obo/NCIT_C40856,LOOM,http://www.ebi.ac.uk/efo/EFO_0009848
164,http://purl.obolibrary.org/obo/NCIT_C2971,LOOM,http://www.ebi.ac.uk/efo/EFO_0006387
165,http://purl.obolibrary.org/obo/NCIT_C102469,LOOM,http://www.ebi.ac.uk/efo/EFO_0009713
166,http://purl.obolibrary.org/obo/NCIT_C84564,LOOM,http://www.ebi.ac.uk/efo/EFO_0003898
167,http://purl.obolibrary.org/obo/NCIT_C125664,LOOM,http://www.ebi.ac.uk/efo/EFO_1001484
168,http://purl.obolibrary.org/obo/NCIT_C5933,LOOM,http://www.ebi.ac.uk/efo/EFO_1000458
169,http://purl.obolibrary.org/obo/NCIT_C26732,LOOM,http://www.ebi.ac.uk/efo/EFO_0001645
170,http://purl.obolibrary.org/obo/NCIT_C121630,LOOM,http://www.ebi.ac.uk/efo/EFO_0009835
171,http://purl.obolibrary.org/obo/NCIT_C121953,LOOM,http://www.ebi.ac.uk/efo/EFO_1000424
172,http://purl.obolibrary.org/obo/NCIT_C5721,LOOM,http://www.ebi.ac.uk/efo/EFO_0006732
173,http://purl.obolibrary.org/obo/NCIT_C6882,LOOM,http://www.ebi.ac.uk/efo/EFO_1000377
174,http://purl.obolibrary.org/obo/NCIT_C123317,LOOM,http://www.ebi.ac.uk/efo/EFO_0009068
175,http://purl.obolibrary.org/obo/NCIT_C80517,LOOM,http://www.ebi.ac.uk/efo/EFO_0009515
176,http://purl.obolibrary.org/obo/NCIT_C6991,LOOM,http://www.ebi.ac.uk/efo/EFO_1000526
177,http://purl.obolibrary.org/obo/NCIT_C4563,LOOM,http://www.ebi.ac.uk/efo/EFO_1000178
178,http://purl.obolibrary.org/obo/NCIT_C4672,LOOM,http://www.ebi.ac.uk/efo/EFO_1000572
179,http://purl.obolibrary.org/obo/NCIT_C119033,LOOM,http://www.ebi.ac.uk/efo/EFO_1002020
180,http://purl.obolibrary.org/obo/NCIT_C40072,LOOM,http://www.ebi.ac.uk/efo/EFO_1000113
181,http://purl.obolibrary.org/obo/NCIT_C4648,LOOM,http://www.ebi.ac.uk/efo/EFO_1000055
182,http://purl.obolibrary.org/obo/NCIT_C5937,LOOM,http://www.ebi.ac.uk/efo/EFO_1000459
183,http://purl.obolibrary.org/obo/NCIT_C6086,LOOM,http://www.ebi.ac.uk/efo/EFO_1000378
184,http://purl.obolibrary.org/obo/NCIT_C40236,LOOM,http://www.ebi.ac.uk/efo/EFO_1000173
185,http://purl.obolibrary.org/obo/NCIT_C164162,LOOM,http://www.ebi.ac.uk/efo/EFO_0005400
186,http://purl.obolibrary.org/obo/NCIT_C5322,LOOM,http://www.ebi.ac.uk/efo/EFO_1000156
187,http://purl.obolibrary.org/obo/NCIT_C53972,LOOM,http://www.ebi.ac.uk/efo/EFO_1000926
188,http://purl.obolibrary.org/obo/NCIT_C25767,LOOM,http://www.ebi.ac.uk/efo/EFO_0001408
189,http://purl.obolibrary.org/obo/NCIT_C27878,LOOM,http://www.ebi.ac.uk/efo/EFO_1000259
190,http://purl.obolibrary.org/obo/NCIT_C45203,LOOM,http://www.ebi.ac.uk/efo/EFO_1000329
191,http://purl.obolibrary.org/obo/NCIT_C34714,LOOM,http://www.ebi.ac.uk/efo/EFO_1000975
192,http://purl.obolibrary.org/obo/NCIT_C34738,LOOM,http://www.ebi.ac.uk/efo/EFO_0000556
193,http://purl.obolibrary.org/obo/NCIT_C7965,LOOM,http://www.ebi.ac.uk/efo/EFO_1001932
194,http://purl.obolibrary.org/obo/NCIT_C34862,LOOM,http://www.ebi.ac.uk/efo/EFO_0007398
195,http://purl.obolibrary.org/obo/NCIT_C35349,LOOM,http://www.ebi.ac.uk/efo/EFO_0009623
196,http://purl.obolibrary.org/obo/NCIT_C34840,LOOM,http://www.ebi.ac.uk/efo/EFO_1000738
197,http://purl.obolibrary.org/obo/NCIT_C9343,LOOM,http://www.ebi.ac.uk/efo/EFO_0003820
198,http://purl.obolibrary.org/obo/NCIT_C3302,LOOM,http://www.ebi.ac.uk/efo/EFO_1000249
199,http://purl.obolibrary.org/obo/NCIT_C95749,LOOM,http://www.ebi.ac.uk/efo/EFO_1000269
200,http://purl.obolibrary.org/obo/NCIT_C8562,LOOM,http://www.ebi.ac.uk/efo/EFO_1000403
201,http://purl.obolibrary.org/obo/NCIT_C40943,LOOM,http://www.ebi.ac.uk/efo/EFO_0009837
202,http://purl.obolibrary.org/obo/NCIT_C43584,LOOM,http://www.ebi.ac.uk/efo/EFO_1001966
203,http://purl.obolibrary.org/obo/NCIT_C5497,LOOM,http://www.ebi.ac.uk/efo/EFO_1000188
