	source_ontology	source_id	map_method	target_id
304	EFO	http://www.ebi.ac.uk/efo/EFO_0002767	REST	http://purl.obolibrary.org/obo/OBI_0001274
305	EFO	http://www.ebi.ac.uk/efo/EFO_0002701	REST	http://purl.obolibrary.org/obo/OBI_0400148
306	EFO	http://www.ebi.ac.uk/efo/EFO_0000752	REST	http://purl.obolibrary.org/obo/OBI_0000366
307	EFO	http://www.ebi.ac.uk/efo/EFO_0001746	REST	http://purl.obolibrary.org/obo/OBI_0001409
308	EFO	http://www.ebi.ac.uk/efo/EFO_0000506	REST	http://purl.obolibrary.org/obo/OBI_0001148
309	EFO	http://www.ebi.ac.uk/efo/EFO_0001759	REST	http://purl.obolibrary.org/obo/OBI_0000985
310	EFO	http://www.ebi.ac.uk/efo/EFO_0003740	REST	http://purl.obolibrary.org/obo/OBI_0600047
311	EFO	http://www.ebi.ac.uk/efo/EFO_0002028	REST	http://purl.obolibrary.org/obo/OBI_0400119
312	EFO	http://www.ebi.ac.uk/efo/EFO_0002771	REST	http://purl.obolibrary.org/obo/OBI_0001200
313	EFO	http://www.ebi.ac.uk/efo/EFO_0001771	REST	http://purl.obolibrary.org/obo/OBI_0001214
314	EFO	http://www.ebi.ac.uk/efo/EFO_0001784	REST	http://purl.obolibrary.org/obo/OBI_0001444
315	EFO	http://www.ebi.ac.uk/efo/EFO_0001773	REST	http://purl.obolibrary.org/obo/OBI_0001401
316	EFO	http://www.ebi.ac.uk/efo/EFO_0001752	REST	http://purl.obolibrary.org/obo/OBI_0001426
317	EFO	http://www.ebi.ac.uk/efo/EFO_0002693	REST	http://purl.obolibrary.org/obo/OBI_0000626
318	EFO	http://www.ebi.ac.uk/efo/EFO_0001899	REST	http://purl.obolibrary.org/obo/OBI_0000040
319	EFO	http://www.ebi.ac.uk/efo/EFO_0002692	REST	http://purl.obolibrary.org/obo/OBI_0000716
320	EFO	http://www.ebi.ac.uk/efo/EFO_0000726	REST	http://purl.obolibrary.org/obo/OBI_0001152
321	EFO	http://purl.obolibrary.org/obo/CL_0000232	REST	http://purl.obolibrary.org/obo/OBI_0001329
322	EFO	http://www.ebi.ac.uk/efo/EFO_0000635	REST	http://purl.obolibrary.org/obo/OBI_0100015
323	EFO	http://www.ebi.ac.uk/efo/EFO_0003942	REST	http://purl.obolibrary.org/obo/OBI_0000043
324	EFO	http://www.ebi.ac.uk/efo/EFO_0000887	REST	http://purl.obolibrary.org/obo/OBI_0302743
325	EFO	http://www.ebi.ac.uk/efo/EFO_0001776	REST	http://purl.obolibrary.org/obo/OBI_0500018
326	EFO	http://www.ebi.ac.uk/efo/EFO_0001787	REST	http://purl.obolibrary.org/obo/OBI_0001259
327	EFO	http://www.ebi.ac.uk/efo/EFO_0001744	REST	http://purl.obolibrary.org/obo/OBI_0001409
328	EFO	http://www.ebi.ac.uk/efo/EFO_0000494	REST	http://purl.obolibrary.org/obo/OBI_0001028
