	target_id	map_method	source_id	source_ontology
121	http://purl.obolibrary.org/obo/DOID_7675	LOOM	http://purl.obolibrary.org/obo/NCIT_C39951	BAO
122	http://purl.obolibrary.org/obo/DOID_11385	LOOM	http://purl.obolibrary.org/obo/NCIT_C92562	BAO
123	http://www.bioassayontology.org/bao#BAO_0030031	LOOM	http://purl.obolibrary.org/obo/NCIT_C113566	BAO
124	http://purl.obolibrary.org/obo/DOID_2566	LOOM	http://purl.obolibrary.org/obo/NCIT_C34513	BAO
125	http://purl.obolibrary.org/obo/DOID_14749	LOOM	http://purl.obolibrary.org/obo/NCIT_C98986	BAO
126	http://purl.obolibrary.org/obo/DOID_3603	LOOM	http://purl.obolibrary.org/obo/NCIT_C3776	BAO
127	http://purl.obolibrary.org/obo/DOID_576	LOOM	http://purl.obolibrary.org/obo/NCIT_C38012	BAO
128	http://purl.obolibrary.org/obo/CHEBI_38324	LOOM	http://purl.obolibrary.org/obo/NCIT_C47796	BAO
129	http://purl.obolibrary.org/obo/DOID_4160	LOOM	http://purl.obolibrary.org/obo/NCIT_C42048	BAO
130	http://purl.obolibrary.org/obo/DOID_3177	LOOM	http://purl.obolibrary.org/obo/NCIT_C4101	BAO
131	http://www.bioassayontology.org/bao#BAO_0100005	LOOM	http://purl.obolibrary.org/obo/NCIT_C77452	BAO
132	http://purl.obolibrary.org/obo/DOID_1625	LOOM	http://purl.obolibrary.org/obo/NCIT_C40382	BAO
133	http://purl.obolibrary.org/obo/DOID_8411	LOOM	http://purl.obolibrary.org/obo/NCIT_C3888	BAO
134	http://purl.obolibrary.org/obo/DOID_5505	LOOM	http://purl.obolibrary.org/obo/NCIT_C4319	BAO
135	http://purl.obolibrary.org/obo/CHEBI_38849	LOOM	http://purl.obolibrary.org/obo/NCIT_C314	BAO
136	http://purl.obolibrary.org/obo/DOID_2959	LOOM	http://purl.obolibrary.org/obo/NCIT_C27579	BAO
137	http://purl.obolibrary.org/obo/DOID_1094	LOOM	http://purl.obolibrary.org/obo/NCIT_C97160	BAO
138	http://purl.obolibrary.org/obo/DOID_8505	LOOM	http://purl.obolibrary.org/obo/NCIT_C26742	BAO
